x,y,videoTime,classification
858.93,38.42,5.618941,FIX
867.35,27.96,5.653671,FIX
874.95,22.85,5.683359,FIX
882.19,19.95,5.701635,FIX
896.42,22.41,5.738252,FIX
917.35,35.8,5.757477,FIX
897.24,22.62,5.79147,FIX
908.29,30.31,5.821449,FIX
912.84,44.43,5.84045,FIX
921.82,47.42,5.877528,FIX
926.66,53.73,5.906519,FIX
935.04,57.54,5.935917,SACCADE
938.22,60.75,5.967379,SACCADE
928.71,52.92,5.99039,SACCADE
931.98,52.35,6.0273,SACCADE
894.66,45.01,6.050346,SACCADE
900.33,102.27,6.081104,SACCADE
891.19,121.32,6.102915,SACCADE
933.11,176.25,6.136825,FIX
878.19,132.93,6.171204,FIX
848.46,107.37,6.195469,FIX
851.61,101.53,6.228697,FIX
878.53,102.53,6.248888,FIX
899.62,105.55,6.280428,FIX
903.71,104.41,6.315006,FIX
885.76,90.54,6.336114,FIX
910.21,109.07,6.375361,FIX
938.33,139.36,6.406527,FIX
965.53,169.17,6.427889,FIX
988.57,193.18,6.460385,FIX
1034.22,230.51,6.488127,FIX
1057.99,253.73,6.520465,FIX
1071.07,271.38,6.560373,FIX
1070.05,280.26,6.602963,FIX
1074.46,280.35,6.653393,FIX
1082.81,287.82,6.707061,FIX
1099.6,300.21,6.762748,FIX
1112.17,314.26,6.81263,FIX
1110.95,314.99,6.851231,FIX
1118.94,326.63,6.901766,FIX
1120.61,324.83,6.956957,FIX
1128.73,329.27,7.011502,FIX
1133.97,326.15,7.050871,FIX
1137.11,326.48,7.113051,FIX
1135.58,326.68,7.156423,FIX
1143.57,327.53,7.205227,FIX
1136.27,335.55,7.259558,FIX
1071.76,317.37,7.312808,FIX
1058.64,321.65,7.340141,FIX
1055.03,314.03,7.38236,FIX
1058.33,313.23,7.418823,FIX
1071.35,317.1,7.47657,FIX
1074.49,316.76,7.511734,FIX
1076.44,306.59,7.540412,FIX
1075.33,294.92,7.570963,FIX
1092.16,298.87,7.601814,FIX
1099.05,290.09,7.62409,FIX
1104.73,282.81,7.655739,FIX
1101.09,271.36,7.691846,FIX
1108.47,276.09,7.718129,FIX
1116.81,278.66,7.760311,FIX
1100.69,281.86,7.78666,FIX
1086.58,284.84,7.817879,FIX
1025.77,281.33,7.849222,FIX
973.6,283.34,7.872982,FIX
931.09,283.56,7.901787,FIX
896.84,283.82,7.925442,FIX
887.38,278.55,7.958614,FIX
920.49,289.5,7.986583,FIX
955.87,291.74,8.017995,FIX
984.41,275.26,8.047839,FIX
1023.67,270.3,8.07142,FIX
1033.18,256.15,8.102693,FIX
1047.16,244.69,8.125629,FIX
1027.26,207.59,8.1556,FIX
916.26,137.7,8.191367,FIX
839.86,87.58,8.21722,FIX
864.48,85.72,8.249689,FIX
870.36,73.7,8.26972,FIX
888.61,72.97,8.300496,FIX
837.84,37.2,8.33414,FIX
830.92,30.22,8.352504,FIX
819.14,20.87,8.391615,FIX
843.02,36.81,8.427067,FIX
820.29,13.23,8.449808,FIX
827.66,11.8,8.479863,FIX
853.02,18.92,8.498842,FIX
869.83,38.04,8.535231,FIX
880.12,42.49,8.566474,FIX
880.96,32.05,8.594991,FIX
893.54,40.85,8.625922,FIX
899.12,45.53,8.654619,FIX
907.4,54.01,8.690999,FIX
883.58,42.71,8.718068,FIX
881.48,49.09,8.75796,FIX
889.82,43.23,8.787815,FIX
860.61,4.59,8.822723,FIX
848.08,-10.14,8.845556,FIX
848.94,-16.34,8.87647,FIX
854.47,-20.39,8.91165,FIX
864.19,-20.68,8.930501,FIX
887.46,-13.9,8.961982,FIX
884.08,-14.99,8.984594,FIX
887.43,-9.22,9.029384,FIX
893.32,-4.89,9.060521,FIX
898.09,-0.95,9.086433,FIX
899.87,-2.37,9.118378,FIX
897.11,0.73,9.148401,FIX
885.61,-10.95,9.189955,FIX
892.96,-6.49,9.224372,FIX
888.08,-7.39,9.258617,FIX
895.91,3.71,9.289121,SACCADE
863.29,-6.71,9.323961,SACCADE
809.24,-43.48,9.350043,SACCADE
754.56,-77.27,9.38742,SACCADE
711.31,-103.0,9.423828,SACCADE
688.01,-121.1,9.447632,SACCADE
687.32,-124.26,9.47872,SACCADE
696.4,7.06,9.505713,SACCADE
717.34,123.3,9.541486,SACCADE
754.76,202.38,9.564006,SACCADE
794.14,226.14,9.599081,SACCADE
851.41,319.76,9.635141,SACCADE
891.78,439.56,9.666638,SACCADE
948.62,544.6,9.701322,SACCADE
984.62,605.99,9.736219,SACCADE
1024.15,609.11,9.777093,SACCADE
1028.84,657.92,9.806549,SACCADE
1028.18,673.25,9.84665,SACCADE
1023.68,692.91,9.874438,SACCADE
1010.11,703.46,9.918215,NOISE
1019.02,691.33,9.95157,NOISE
997.15,703.32,9.991882,NOISE
995.62,695.11,10.029961,NOISE
990.69,683.12,10.080694,FIX
977.42,678.01,10.112737,FIX
982.76,658.69,10.144186,FIX
974.75,638.81,10.189982,FIX
955.98,604.27,10.222618,FIX
937.71,579.02,10.262253,FIX
944.41,583.92,10.299456,FIX
913.69,600.77,10.338352,FIX
899.72,580.83,10.369986,FIX
895.22,566.56,10.411667,FIX
874.67,588.53,10.449086,FIX
875.08,593.05,10.481402,FIX
835.63,574.44,10.513275,FIX
842.27,568.13,10.554782,FIX
839.22,551.97,10.588428,FIX
849.19,543.54,10.632435,FIX
880.91,533.37,10.659137,FIX
891.87,557.12,10.699457,FIX
894.68,565.28,10.732391,FIX
899.86,574.72,10.770698,FIX
900.16,573.96,10.808515,FIX
913.59,574.17,10.840813,FIX
912.37,574.59,10.879294,FIX
892.94,558.51,10.920901,FIX
888.85,558.5,10.952712,FIX
880.86,541.37,10.993652,FIX
887.59,559.69,11.025253,FIX
886.02,539.07,11.075547,FIX
876.6,477.76,11.105223,FIX
869.99,453.86,11.143265,FIX
872.15,468.29,11.187099,FIX
858.92,495.55,11.227574,FIX
870.48,525.37,11.276614,FIX
870.92,529.92,11.313111,FIX
879.96,534.34,11.353848,FIX
906.42,584.05,11.379032,FIX
932.8,555.75,11.418432,FIX
914.5,532.3,11.455972,FIX
897.43,522.45,11.496636,FIX
875.31,521.98,11.528615,FIX
875.74,539.48,11.572545,FIX
848.94,528.37,11.59561,FIX
817.59,512.26,11.637815,FIX
785.08,513.03,11.667011,FIX
787.01,493.74,11.712387,FIX
770.5,514.59,11.745796,FIX
735.46,522.4,11.780753,FIX
752.14,522.62,11.808591,FIX
781.78,502.49,11.851397,FIX
756.13,499.42,11.888209,FIX
741.69,529.84,11.915499,FIX
730.92,532.8,11.942874,FIX
755.13,527.54,11.97848,FIX
732.21,536.23,12.019153,FIX
730.52,524.84,12.047407,FIX
728.86,504.76,12.085028,FIX
748.41,484.39,12.110616,FIX
755.49,482.45,12.14992,FIX
755.14,489.59,12.173543,FIX
740.49,510.94,12.21286,FIX
745.07,524.53,12.248414,FIX
759.72,509.52,12.279809,FIX
761.86,488.95,12.308815,FIX
763.23,515.64,12.346617,SACCADE
752.82,516.45,12.38076,SACCADE
745.47,515.02,12.406203,SACCADE
750.07,507.45,12.440757,SACCADE
755.14,468.54,12.46585,SACCADE
761.49,452.52,12.500819,SACCADE
777.98,458.9,12.532047,SACCADE
771.59,456.04,12.57241,SACCADE
789.65,422.49,12.605418,SACCADE
810.67,405.35,12.629813,SACCADE
800.89,381.37,12.661971,SACCADE
774.79,357.27,12.689242,SACCADE
782.53,339.83,12.72152,SACCADE
841.82,282.45,12.760103,SACCADE
883.26,219.31,12.795311,SACCADE
931.47,181.75,12.82977,SACCADE
946.61,132.63,12.853439,SACCADE
957.93,98.05,12.881956,SACCADE
984.73,84.69,12.913109,SACCADE
1001.91,69.12,12.956608,SACCADE
1000.97,52.32,12.980618,SACCADE
986.92,39.48,13.020953,SACCADE
984.99,37.67,13.043069,SACCADE
995.49,46.33,13.074114,FIX
999.77,57.3,13.105698,FIX
990.24,51.09,13.127875,FIX
996.87,67.11,13.157554,FIX
974.36,60.06,13.182944,FIX
968.93,67.61,13.220946,FIX
983.11,78.08,13.248879,FIX
966.62,82.62,13.279596,FIX
952.96,80.21,13.315979,FIX
940.71,72.44,13.339607,FIX
943.97,72.88,13.374499,FIX
933.09,72.56,13.394325,FIX
939.84,86.26,13.428547,FIX
939.81,91.56,13.458609,FIX
940.04,96.01,13.485214,FIX
945.36,100.63,13.522033,FIX
959.56,109.27,13.550396,FIX
959.59,106.23,13.590728,FIX
946.34,100.02,13.609393,FIX
929.03,86.97,13.639713,FIX
939.27,87.88,13.677231,FIX
956.86,101.21,13.701661,FIX
952.97,100.21,13.73739,FIX
957.01,102.16,13.755479,FIX
976.39,113.52,13.788132,FIX
992.72,123.06,13.82042,FIX
988.82,138.4,13.838835,FIX
974.71,177.53,13.874513,FIX
972.36,204.62,13.905815,FIX
992.1,229.41,13.941573,FIX
993.07,227.1,13.964462,FIX
983.33,209.09,13.994026,FIX
981.53,200.91,14.030104,FIX
978.87,189.84,14.049374,FIX
971.92,172.96,14.091361,FIX
968.26,160.92,14.115877,FIX
971.78,161.18,14.150391,FIX
974.9,161.62,14.181076,FIX
973.67,150.07,14.20467,FIX
944.82,119.47,14.238141,FIX
950.73,120.92,14.26901,FIX
939.89,104.64,14.302449,FIX
939.18,103.87,14.346621,SP
946.56,107.96,14.396798,SP
962.4,118.7,14.432605,SP
968.55,112.01,14.471727,SP
965.84,113.13,14.524029,SP
972.53,117.71,14.569975,SP
976.79,124.48,14.622523,SP
960.92,113.39,14.671971,SP
944.23,187.4,14.712767,SP
940.91,237.42,14.766859,SP
943.33,276.91,14.811387,SP
910.39,323.76,14.855193,FIX
903.91,348.98,14.90812,FIX
905.05,389.71,14.949267,FIX
922.16,417.75,14.98628,FIX
887.61,426.21,15.035632,FIX
852.59,447.11,15.071475,FIX
829.5,456.32,15.119114,FIX
809.17,479.85,15.155058,FIX
786.81,479.81,15.205774,FIX
789.67,463.95,15.234335,FIX
758.17,475.24,15.260879,FIX
763.56,492.53,15.297749,FIX
760.38,486.81,15.333994,FIX
804.21,469.32,15.358671,SP
831.57,433.3,15.39735,SP
857.74,393.14,15.43308,SP
880.76,355.73,15.47226,SP
879.75,400.85,15.506529,SP
896.95,431.58,15.546875,SP
906.88,436.71,15.576957,SP
933.04,435.86,15.62063,SP
959.54,441.35,15.649588,SP
991.28,437.24,15.692954,SP
985.99,447.16,15.719152,SP
972.47,469.14,15.764016,SP
989.29,483.55,15.792314,SP
984.58,524.58,15.831513,SP
988.6,547.53,15.856356,SP
979.35,541.78,15.895772,FIX
986.36,562.16,15.925582,SP
977.72,576.3,15.962322,SP
972.41,605.25,15.988702,SP
972.46,564.66,16.028905,SP
991.6,571.31,16.067732,SP
995.93,539.59,16.100545,SP
989.64,520.7,16.12546,FIX
994.95,518.29,16.160364,FIX
1019.78,522.37,16.201134,NOISE
991.15,519.86,16.227448,NOISE
985.73,508.06,16.266175,FIX
979.04,484.44,16.294867,FIX
978.59,472.54,16.335895,FIX
986.48,457.56,16.357553,FIX
983.48,436.76,16.394592,FIX
975.97,426.55,16.426905,FIX
984.65,469.05,16.468867,FIX
994.77,503.37,16.494115,NOISE
969.65,522.31,16.536606,NOISE
970.01,525.94,16.569413,FIX
953.89,571.89,16.603386,FIX
996.67,587.77,16.64311,FIX
1000.12,601.94,16.682399,FIX
1018.41,610.01,16.711274,FIX
1053.25,599.77,16.750375,FIX
1098.61,603.8,16.788561,FIX
1144.58,600.07,16.818931,FIX
1177.04,603.55,16.848914,FIX
1198.81,606.81,16.891726,FIX
1225.68,610.91,16.923525,FIX
1233.98,611.84,16.957898,FIX
1254.54,628.74,16.999652,FIX
1258.95,640.31,17.030852,FIX
1260.41,652.71,17.072599,FIX
1274.68,650.02,17.114684,FIX
1272.0,641.61,17.14258,FIX
1274.23,645.2,17.188971,FIX
1286.49,635.04,17.21368,FIX
1296.33,641.65,17.253395,FIX
1276.62,641.17,17.2862,FIX
1257.66,629.68,17.328065,FIX
1261.44,614.11,17.363921,FIX
1227.4,603.81,17.397432,FIX
1184.09,586.48,17.431753,FIX
1188.82,608.78,17.473011,FIX
1206.61,604.16,17.508684,FIX
1213.99,596.45,17.540398,FIX
1228.8,616.94,17.566269,FIX
1232.08,621.58,17.602371,FIX
1231.49,618.24,17.641618,FIX
1238.7,629.64,17.66758,FIX
1235.56,618.0,17.701753,FIX
1256.88,632.38,17.725674,FIX
1257.21,629.87,17.762626,FIX
1242.3,613.08,17.788557,FIX
1244.92,614.34,17.826864,FIX
1264.39,630.26,17.859593,FIX
1252.36,619.35,17.8897,FIX
1256.1,624.61,17.923198,FIX
1255.84,616.34,17.948356,FIX
1259.67,609.57,17.984303,FIX
1266.03,602.58,18.012765,FIX
1263.71,609.92,18.048603,FIX
1251.96,601.7,18.080627,FIX
1237.19,587.63,18.100538,FIX
1219.43,557.9,18.140042,SACCADE
1212.79,536.66,18.168305,SACCADE
1153.69,443.25,18.205698,SACCADE
1104.02,364.95,18.225658,SACCADE
1084.54,308.42,18.259276,SACCADE
1053.07,255.33,18.295461,SACCADE
1035.95,220.3,18.318793,NOISE
1025.35,200.28,18.353861,NOISE
997.99,173.36,18.372104,NOISE
1021.66,200.47,18.40834,NOISE
1071.5,266.84,18.445375,NOISE
1075.12,277.88,18.473199,NOISE
1116.59,365.32,18.5026,NOISE
1136.44,414.95,18.537158,NOISE
1171.19,482.52,18.574133,NOISE
1195.44,533.22,18.598712,NOISE
1208.32,568.0,18.640748,NOISE
1235.19,610.67,18.662588,NOISE
1245.47,626.88,18.701505,NOISE
1261.71,639.95,18.726347,FIX
1272.62,663.66,18.762675,FIX
1266.54,648.92,18.80214,FIX
1264.06,647.96,18.832172,FIX
1271.52,654.17,18.864892,FIX
1271.64,661.9,18.890566,FIX
1264.55,651.46,18.933326,FIX
1277.01,666.91,18.957849,FIX
1284.73,685.81,18.99936,FIX
1275.86,690.86,19.02389,FIX
1267.27,684.32,19.061599,FIX
1263.75,680.15,19.09059,FIX
1270.98,677.98,19.130481,FIX
1266.5,671.15,19.163203,FIX
1270.3,667.07,19.193469,FIX
1278.62,685.16,19.230648,FIX
1279.94,696.36,19.270035,FIX
1291.58,699.8,19.307572,FIX
1284.51,694.26,19.332401,FIX
1289.19,699.42,19.372227,FIX
1262.18,670.69,19.394465,FIX
1263.79,669.06,19.435173,FIX
1271.92,671.07,19.457906,FIX
1270.8,649.68,19.493379,FIX
1268.87,638.44,19.528795,FIX
1249.24,610.67,19.560423,FIX
1174.04,484.88,19.58695,FIX
1121.61,388.05,19.619268,NOISE
1079.28,312.59,19.657195,NOISE
1047.5,244.06,19.679226,NOISE
1016.22,199.42,19.718417,NOISE
1006.45,169.3,19.741188,NOISE
991.86,142.98,19.772148,NOISE
981.39,133.69,19.804604,FIX
971.35,119.28,19.827395,FIX
982.42,122.22,19.857185,FIX
